run,bench,input,working_set_bytes,working_set_note,dcache_size,policy,status,trace_rows,issued,span_cycles,ipc,read_misses,non_cold_misses,reuse_hit_pct,unique_lines,line_local_pct,overflow_sets,read_hit_pct,reuse_access_ratio,line_stride_64_plus_pct,max_unique_tags_per_set,same_set_tag_changes,artifact
31,kmeans,p32_f32_c8,5248,feature=4096B clusters=1024B membership=128B,32768,GTO,ok,128967,11716,68926,0.169979,3054,2574,47,758,20.18,2,46,86.70,58.89,258,2993,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run31/GTO/kmeans
31,kmeans,p32_f32_c8,5248,feature=4096B clusters=1024B membership=128B,32768,gCAWS,ok,118103,11716,84426,0.138772,3053,2552,48,758,20.46,2,46,86.70,58.47,258,3012,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run31/gCAWS/kmeans
32,kmeans,p64_f32_c8,9472,feature=8192B clusters=1024B membership=256B,1024,RR,ok,156392,22760,88846,0.256174,5526,4848,30,822,28.40,4,29,89.51,56.57,333,3740,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run32/RR/kmeans
32,kmeans,p64_f32_c8,9472,feature=8192B clusters=1024B membership=256B,1024,GTO,ok,135800,22760,70365,0.323456,5474,4813,31,822,28.08,4,30,89.51,56.81,333,3737,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run32/GTO/kmeans
32,kmeans,p64_f32_c8,9472,feature=8192B clusters=1024B membership=256B,1024,gCAWS,ok,131318,22760,89309,0.254846,5485,4784,31,822,28.27,4,30,89.51,56.59,333,3731,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run32/gCAWS/kmeans
33,kmeans,p64_f32_c8,9472,feature=8192B clusters=1024B membership=256B,4096,RR,ok,156564,22760,90211,0.252297,5448,4814,31,822,28.40,16,30,89.51,56.55,275,3217,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run33/RR/kmeans
33,kmeans,p64_f32_c8,9472,feature=8192B clusters=1024B membership=256B,4096,GTO,ok,133562,22760,67740,0.335991,5395,4760,32,822,28.07,16,31,89.51,56.81,275,3196,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run33/GTO/kmeans
33,kmeans,p64_f32_c8,9472,feature=8192B clusters=1024B membership=256B,4096,gCAWS,ok,127668,22760,87186,0.261051,5360,4739,32,822,28.19,16,31,89.51,56.66,275,3205,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run33/gCAWS/kmeans
34,kmeans,p64_f32_c8,9472,feature=8192B clusters=1024B membership=256B,8192,RR,ok,155603,22760,90122,0.252547,5301,4717,32,822,28.40,32,32,89.51,56.57,265,3146,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run34/RR/kmeans
34,kmeans,p64_f32_c8,9472,feature=8192B clusters=1024B membership=256B,8192,GTO,ok,136416,22760,69945,0.325399,5278,4662,33,822,28.14,32,32,89.51,56.76,265,3125,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run34/GTO/kmeans
34,kmeans,p64_f32_c8,9472,feature=8192B clusters=1024B membership=256B,8192,gCAWS,ok,128846,22760,89918,0.253120,5287,4701,32,822,28.19,32,32,89.51,56.66,265,3137,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run34/gCAWS/kmeans
35,kmeans,p64_f32_c8,9472,feature=8192B clusters=1024B membership=256B,16384,RR,ok,155910,22760,88635,0.256783,5146,4619,34,822,28.41,44,34,89.51,56.57,260,3116,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run35/RR/kmeans
35,kmeans,p64_f32_c8,9472,feature=8192B clusters=1024B membership=256B,16384,GTO,ok,133022,22760,69535,0.327317,5137,4627,34,822,27.99,44,34,89.51,56.90,260,3067,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run35/GTO/kmeans
35,kmeans,p64_f32_c8,9472,feature=8192B clusters=1024B membership=256B,16384,gCAWS,ok,127230,22760,88736,0.256491,5090,4583,34,822,28.21,44,35,89.51,56.66,260,3108,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run35/gCAWS/kmeans
36,kmeans,p64_f32_c8,9472,feature=8192B clusters=1024B membership=256B,32768,RR,ok,151653,22760,88937,0.255911,3129,2640,62,822,28.37,2,60,89.51,56.58,258,3101,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run36/RR/kmeans
36,kmeans,p64_f32_c8,9472,feature=8192B clusters=1024B membership=256B,32768,GTO,ok,130325,22760,67287,0.338253,3059,2574,63,822,27.99,2,60,89.51,56.89,258,3058,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run36/GTO/kmeans
36,kmeans,p64_f32_c8,9472,feature=8192B clusters=1024B membership=256B,32768,gCAWS,ok,122895,22760,86910,0.261880,3045,2562,63,822,28.23,2,61,89.51,56.62,258,3087,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run36/gCAWS/kmeans
37,kmeans,p128_f32_c8,17920,feature=16384B clusters=1024B membership=512B,1024,RR,ok,165663,44848,93356,0.480398,7624,6886,38,950,36.79,4,37,92.15,53.31,365,4319,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run37/RR/kmeans
